"Symbol","Scientific Name with Author","GSAT Common Name"
"APGRD","Apium graveolens L. var. dulce (Mill.) DC.","WILD CELERY"
"APIN","Apera interrupta (L.) P. Beauv.","silky bentgrass"
"APIUM","Apium L.","WILD CELERY"
"APOCY","Apocynum L.","Dogbane"
"AQCH","Aquilegia chrysantha A. Gray","golden columbine"
"AQCO","Aquilegia coerulea James","Colorado columbine"
"AQCOO","Aquilegia coerulea James var. ochroleuca Hook.","white Colorado columbine"
"AQCOP","Aquilegia coerulea James var. pinetorum (Tidestr.) Payson ex Kearney & Peebles","Colorado blue columbine"
"AQFO","Aquilegia formosa Fisch. ex DC.","crimson columbine"
"AQSC","Aquilegia scopulorum Tidestr.","blue columbine"
"AQSCS","Aquilegia scopulorum Tidestr. var. scopulorum","Utah columbine"
"AQUIL","Aquilegia L.","columbine"
"ARAB2","Artemisia abrotanum L.","southernwood"
"ARAB3","Artemisia absinthium L.","common sagewort"
"ARAB4","Arceuthobium abietinum (Engelm.) Hawksw. & Wiens","fir dwarf mistletoe"
"ARABI2","Arabis L.","rockcress"
"ARAC2","Arenaria aculeata S. Watson","spiny sandwort"
"ARAD","Aristida adscensionis L.","SIXWEEKS THREEAWN"
"ARAD2","Argythamnia adenophora A. Gray","glandular silverbush"
"ARAM","Arceuthobium americanum Nutt. ex Engelm.","lodgepole pine dwarf mistletoe"
"ARAM2","Arnica amplexicaulis Nutt.","streambank arnica"
"ARAN7","Argentina anserina (L.) Rydb.","silverweed cinquefoil"
"ARAR6","Aristida arizonica Vasey","Arizona threeawn"
"ARAR8","Artemisia arbuscula Nutt.","low sagebrush"
"ARARA","Artemisia arbuscula Nutt. ssp. arbuscula","gray low sagebrush"
"ARARL","Artemisia arbuscula Nutt. ssp. longiloba (Osterh.) L.M. Shultz","early sagebrush"
"ARARL3","Artemisia arbuscula Nutt. ssp. longicaulis Winward & McArthur","Lahontan sagebrush"
"ARBI2","Artemisia biennis Willd.","BIENNIAL SAGEWORT"
"ARBI3","Artemisia bigelovii A. Gray","Bigelow's sagebrush"
"ARBO","Arabis bodiensis Rollins","Bodie Hills rockcress"
"ARCA12","Artemisia campestris L.","wormwood sagewort"
"ARCA13","Artemisia cana Pursh","silver sagebrush"
"ARCA14","Artemisia carruthii Alph. Wood ex Carruth.","Carruth's sagewort"
"ARCA3","Arceuthobium campylopodum Engelm.","western dwarf mistletoe"
"ARCA4","Arctomecon californica Torr. & Frém.","California bearpoppy"
"ARCA7","Arenaria capillaris Poir.","threadleaf sandwort"
"ARCAA","Arenaria capillaris Poir. ssp. americana Maguire","fescue sandwort"
"ARCAB2","Artemisia campestris L. ssp. borealis (Pall.) H.M. Hall & Clem.","northern sagewort"
